,Close,Predictions
177177,1756.63,1766.4993
177178,1761.11,1755.9078
177179,1761.89,1760.9231
177180,1766.38,1761.0527
177181,1770.09,1765.6354
177182,1773.85,1768.9583
177183,1768.8,1772.5691
177184,1772.72,1767.4033
177185,1769.55,1771.7025
177186,1770.01,1768.1888
177187,1771.34,1769.0569
177188,1770.15,1770.2522
177189,1777.01,1769.0765
177190,1774.99,1776.0001
177191,1771.42,1773.5603
177192,1769.34,1770.3815
177193,1774.02,1768.4316
177194,1770.06,1773.1434
177195,1760.58,1768.9208
177196,1763.59,1759.9237
177197,1763.74,1763.2988
177198,1761.49,1762.9918
177199,1763.55,1760.8776
177200,1766.6,1762.9572
177201,1763.5,1765.7294
177202,1753.99,1762.5059
177203,1759.0,1753.3055
177204,1763.4,1758.6938
177205,1754.56,1762.4596
177206,1757.73,1753.6428
177207,1732.8,1757.3484
177208,1752.36,1732.1389
177209,1747.65,1753.1384
177210,1749.11,1746.387
177211,1745.87,1748.8687
177212,1747.59,1745.1085
177213,1750.88,1747.0496
177214,1759.02,1750.0094
177215,1766.11,1757.9221
177216,1762.42,1764.5234
177217,1756.13,1760.6921
177218,1753.81,1754.8835
177219,1735.57,1752.878
177220,1737.94,1734.8954
177221,1756.6,1738.3695
177222,1769.32,1756.1025
177223,1761.61,1767.7427
177224,1744.29,1759.8274
177225,1741.18,1743.3326
177226,1742.77,1740.9965
177227,1736.46,1742.3455
177228,1736.95,1736.0553
177229,1725.65,1736.9261
177230,1723.44,1725.4144
177231,1726.8,1723.8691
177232,1726.18,1726.8046
177233,1730.32,1725.8667
177234,1727.52,1729.9569
177235,1726.98,1726.761
177236,1723.73,1726.4438
177237,1726.29,1723.0698
177238,1731.32,1725.7662
177239,1728.8,1730.4386
177240,1725.76,1727.73
177241,1729.48,1724.9982
177242,1733.75,1728.7324
177243,1737.01,1732.6592
177244,1742.27,1735.7766
177245,1743.2,1740.9054
177246,1749.78,1741.6238
177247,1758.6,1748.2898
177248,1755.67,1756.7042
177249,1751.92,1753.602
177250,1758.42,1750.4183
177251,1754.04,1757.0658
177252,1756.12,1752.4009
177253,1751.61,1755.0746
177254,1750.0,1750.3792
177255,1750.86,1749.2382
177256,1733.85,1750.0581
177257,1741.07,1733.1863
177258,1744.93,1741.3755
177259,1744.92,1744.1553
177260,1743.85,1744.2203
177261,1752.64,1743.1132
177262,1756.92,1751.7914
177263,1748.92,1755.4316
177264,1747.9,1747.544
177265,1740.26,1747.0973
177266,1745.83,1739.3699
177267,1746.63,1745.4246
177268,1748.64,1745.6453
177269,1748.03,1747.8181
177270,1745.63,1747.0314
177271,1751.51,1744.7406
177272,1752.22,1750.6583
177273,1745.11,1750.9448
177274,1738.61,1744.0835
177275,1735.5,1738.0634
177276,1729.69,1735.1707
177277,1729.56,1729.4563
177278,1720.02,1729.5751
177279,1706.4,1719.8965
177280,1699.3,1706.9476
177281,1715.91,1700.304
177282,1717.02,1716.5659
177283,1713.56,1716.2833
177284,1715.33,1713.1943
177285,1714.47,1714.8688
177286,1708.23,1713.7041
177287,1729.08,1707.6202
177288,1728.94,1728.5068
177289,1722.02,1726.8916
177290,1723.13,1720.8221
177291,1728.83,1722.1847
177292,1724.19,1727.6259
177293,1723.35,1722.8588
177294,1729.01,1722.5458
177295,1726.28,1728.0422
177296,1724.5,1725.062
177297,1724.48,1723.6836
177298,1725.13,1723.659
177299,1723.92,1724.2946
177300,1710.25,1723.0784
177301,1710.05,1709.6736
177302,1720.43,1710.2518
177303,1716.49,1720.0269
177304,1712.33,1715.5463
177305,1707.0,1711.9303
177306,1712.38,1706.638
177307,1706.07,1712.1248
177308,1710.45,1705.3589
177309,1708.21,1710.2278
177310,1709.55,1707.4214
177311,1716.37,1709.0347
177312,1711.24,1715.5111
177313,1680.25,1710.0781
177314,1686.2,1680.0275
177315,1687.81,1687.5693
177316,1694.78,1687.7104
177317,1692.62,1694.7969
177318,1688.82,1692.0376
177319,1695.74,1688.5219
177320,1681.67,1695.3204
177321,1695.41,1680.8529
177322,1697.21,1695.4698
177323,1708.65,1695.8041
177324,1707.29,1707.5573
177325,1704.92,1705.4463
177326,1706.43,1703.6434
177327,1716.12,1705.2155
177328,1711.26,1714.7412
177329,1722.41,1709.529
177330,1717.85,1721.2496
177331,1714.23,1715.9329
177332,1718.88,1713.1737
177333,1715.6,1717.8346
177334,1719.06,1714.3472
177335,1719.19,1718.211
177336,1722.19,1718.0309
177337,1720.79,1721.1775
177338,1715.64,1719.616
177339,1706.63,1714.7572
177340,1704.57,1706.1364
177341,1710.47,1704.5182
177342,1717.07,1710.185
177343,1715.99,1716.2816
177344,1716.26,1714.9514
177345,1714.96,1715.4001
177346,1710.67,1713.9935
177347,1714.93,1709.8705
177348,1717.26,1714.3053
177349,1719.8,1716.2283
177350,1724.71,1718.7789
177351,1722.06,1723.5187
177352,1719.7,1720.7003
177353,1726.3,1718.7137
177354,1737.05,1725.3048
177355,1731.78,1735.5369
177356,1737.37,1729.9775
177357,1743.16,1736.1873
177358,1738.06,1741.4131
177359,1737.63,1736.3724
177360,1741.37,1736.497
177361,1752.47,1740.1315
177362,1674.15,1751.0238
177363,1628.68,1673.2095
177364,1615.36,1633.6616
177365,1609.7,1620.7893
177366,1609.48,1614.6342
177367,1603.57,1613.7058
177368,1611.27,1606.8635
177369,1605.59,1613.9072
177370,1594.24,1606.8422
177371,1590.1,1595.8208
177372,1589.87,1591.7185
177373,1591.99,1590.9724
177374,1592.53,1592.6216
177375,1594.45,1592.727
177376,1601.3,1594.418
177377,1592.82,1600.8234
177378,1611.83,1592.0566
177379,1611.81,1611.3932
177380,1620.8,1609.7673
177381,1629.98,1619.4465
177382,1623.72,1627.8109
177383,1619.35,1621.6431
177384,1619.2,1618.2168
